date,underlying,strike,expiry,option_type,bid,ask,implied_vol,spot
2024-01-02,SPY,470,2024-02-16,call,8.50,8.65,0.142,472.65
2024-01-02,SPY,475,2024-02-16,call,5.20,5.35,0.145,472.65
2024-01-02,SPY,480,2024-02-16,call,2.85,2.95,0.152,472.65
2024-01-02,SPY,485,2024-02-16,call,1.25,1.35,0.162,472.65
2024-01-02,SPY,470,2024-02-16,put,5.80,5.95,0.138,472.65
2024-01-02,SPY,475,2024-02-16,put,7.45,7.60,0.142,472.65
2024-01-02,SPY,480,2024-02-16,put,10.05,10.20,0.148,472.65
2024-01-02,SPY,485,2024-02-16,put,13.40,13.55,0.158,472.65
2024-01-02,SPY,470,2024-03-15,call,12.30,12.50,0.148,472.65
2024-01-02,SPY,475,2024-03-15,call,9.15,9.35,0.150,472.65
2024-01-02,SPY,480,2024-03-15,call,6.45,6.60,0.154,472.65
2024-01-02,SPY,485,2024-03-15,call,4.25,4.40,0.160,472.65
